source_center,destination_center,median_segment_factor,mean_segment_factor,median_factor,trip_count,pct_delayed,median_actual_time,median_osrm_time,median_osrm_distance,total_excess_time,avg_excess_time,is_chronic_delay
IND643212AAA,IND641062AAD,2.857142857142857,3.8123214285714284,3.2861895986895986,20,0.95,35.0,9.5,11.604849999999999,2827.0,141.35,True
IND643217AAA,IND643001AAA,1.1104166666666666,1.1682557911452829,1.5639880952380953,14,0.5,24.0,36.5,34.36205,95.0,6.785714285714286,False
IND643231AAA,IND643217AAA,1.1071428571428572,1.1470842547545335,1.1071428571428572,10,0.4,35.5,31.0,21.18405,83.0,8.3,False
IND670645AAB,IND673592AAA,2.4,3.1455903301491537,2.2972972972972974,21,0.9523809523809523,25.0,13.0,12.8726,1207.0,57.476190476190474,True
IND671315AAA,IND575004AAB,8.01923076923077,8.01923076923077,8.01923076923077,2,1.0,625.5,78.0,80.5539,1095.0,547.5,True
IND671323AAD,IND000000ACO,2.1607142857142856,2.1607142857142856,1.4419642857142856,2,1.0,24.5,16.0,14.680150000000001,27.0,13.5,True
IND673027AAB,IND673104AAA,1.0833333333333333,6.097222222222222,1.2037037037037035,7,0.2857142857142857,12.0,10.0,9.7665,342.0,48.857142857142854,False
IND673027AAB,IND673305AAA,1.1454545454545455,9.563099747474748,1.0923295454545454,8,0.375,12.0,10.0,10.01595,591.0,73.875,False
IND673104AAA,IND673506AAA,1.55,1.633289627039627,1.6931818181818183,24,0.75,15.0,9.0,8.8904,299.0,12.458333333333334,True
IND673121AAA,IND670645AAB,2.2788461538461537,2.3700525169275166,2.3076923076923075,24,1.0,21.0,11.0,12.0637,814.0,33.916666666666664,True
IND673305AAA,IND673104AAA,1.2272727272727275,1.283953168044077,1.2440711462450593,22,0.5,12.5,11.0,10.403099999999998,95.0,4.318181818181818,True
IND673506AAA,IND670643AAA,1.4330357142857144,1.4677992724867723,1.5108695652173914,24,0.9583333333333334,16.0,11.5,10.98375,208.0,8.666666666666666,True
IND673573AAA,IND673592AAA,1.678235294117647,1.6423688987659577,1.670508474576271,24,1.0,49.0,30.5,29.7534,671.0,27.958333333333332,True
IND673592AAA,IND562132AAA,1.7567567567567568,2.0149740634861084,1.7567567567567568,119,0.773109243697479,43.0,29.0,27.6982,13977.0,117.45378151260505,True
IND673592AAA,IND670645AAB,2.5,2.940285204991087,2.5,3,1.0,35.0,14.0,14.2563,148.0,49.333333333333336,True
IND673592AAA,IND673121AAA,2.0,2.3839334907516725,2.0,22,0.9545454545454546,17.0,8.0,9.34335,356.0,16.181818181818183,True
IND676306AAA,IND676509AAA,1.7083333333333335,1.937142857142857,1.380952380952381,10,0.9,16.0,9.0,10.0114,81.0,8.1,True
IND676509AAA,IND679322AAA,1.5227272727272727,1.848161098161098,1.8203463203463206,6,1.0,15.0,10.0,10.03615,86.0,14.333333333333334,True
IND678683AAA,IND000000ABD,1.1851851851851851,1.7196194438236878,1.1029411764705883,26,0.4230769230769231,27.0,18.0,16.48605,150.0,5.769230769230769,False
IND679303AAA,IND679531AAA,2.732142857142857,2.7459746272246273,2.815340909090909,18,1.0,21.0,9.0,10.25165,445.0,24.72222222222222,True
